Sinhala,Tamil,Class
සම්මුන්කුඩ්ඩි කුලන්තයුම්මා,சம்மூன்குட்டி குழந்தையும்மா,Tamil
ඉලන්කෝ තනුරාජ්,இளங்கோ தனுராஜ்,Tamil
කතිරාමන් ඥානම්මා,கதிராமன் ஞானம்மா,Tamil
රන්හොටි බණ්ඩාරලාගේ දසනායක,ரன்ஹோட்டி பண்டாறகே தசநாயக,Sinhala
මල්ලවගේ නිශාදි පූර්නිමා,மல்லவகே நிஷாதி பூர்னிமா,Sinhala
මුතුතන්ත්‍රිගේ සුරේන්ද්‍ර කුමාර කුරේ,முத்துதந்திரிகே சுரேந்திர குமார குரே,Sinhala
උයනහේවාගේ හංසිනි ප්‍රසානි,உயனஹேவாகே ஹன்சினி பிரசானி,Sinhala
ජයනෙත්ති කෝරාලලාගේ හිරන්ත සම්පත් ජයනෙත්ති,ஜயநெத்தி கோராலலாகே ஹிரன்த சம்பத் ஜயநெத்தி,Sinhala
වීරයියා ජයකුමාර්,வீரையா ஜயகுமார்,Tamil
ලෙච්චිමන් ලක්ෂිකා මධුමාලි,லெச்சிமன் லக்ஷிகா மதுமாலி,Sinhala
විතාරමලාගේ තරිදු රසාංජන කරුණාසේන,விதாரமலாகே தரிந்து ரசாஞ்ஜன கருணாசேன,Sinhala
නෙළුව ලියනගේ ධම්මිකා,நெலுவ லியனகே தம்மிகா,Sinhala
වේලාපුර මහවඩුගේ දොන් ඇන්ටනි,வேலாபுர மஹவடுகே டொன் அன்ரனி,Sinhala
දලදාවත්තගේ දුලාන්ජය සඳකැළුම්,தலதாவத்தகே துலஞ்ஜய சந்தகெலும்,Sinhala
නිරංජලා ලක්මාලි වගආරච්ච්,நிரஞ்ஜலா லக்மாலி வகஆரச்சி,Sinhala
පරතාපයලාගේ නිලන්ත,பரதபயலகே நிலந்த,Sinhala
ගල්කැටියේ ගෙදර උපුල් ‍ප්‍රියන්ත,கல்கெடியெ கெதர உபுல் பிரியந்த,Sinhala
දිප්පිටිගල මනන්නලාගේ සංජීව සමන්කුමාර,திப்பிடிகல மனன்தலாகே சன்ஜீவ சமன்குமார,Sinhala
මල්ලිකා ගෙදර හේරත් බණ්ඩා,மல்லிகா கெதர ஹேரத் பண்டா,Sinhala
පරණවිතානගේ රමේෂ් මධුරංග,பரணவிதானகே ரமேஷ் மதுரங்க,Sinhala
හේවාවසම් පටුවත බඩතුරුගේ තිසරු මධුෂාන්,ஹேவாவசம் படுவத படதுருகே திசரு மதுஷான்,Sinhala
ජුවන්වඩු චුල්ලපාල,ஜுவன்வடு ஸுல்லபால,Sinhala
කනපති අලගම්මා,கணபதி அழகம்மா,Tamil
හාමිදු ලෙබ්බේ මීරසායිබු,ஹாமிது லெப்வை மீராசாய்பு,Muslim
දන්දුන්නගේ දිනුෂා ලක්මාලි,தந்துன்னகே தினுஷா லக்மாலி,Sinhala
වීරසූරිය දවූන්ඩ පණ්ඩිත ගෙදර එරංග සුපුන් වීරසූරිය,வீரசூரிய தவுந்த பண்டித கெதர எரங்க சுபுன் வீரசூரிய,Sinhala
අබ්දුල් හමිඳු මුහම්මදු හබීර්,அப்துல் ஹமீது முகம்மது ஹபீர்,Muslim
අබුබක්කර් සෙයිනම්බු,அபூபக்கர் செயினம்பு,Muslim
මීරා ලෙබ්බේ මුහයිදීන් බාවා,மீரா லெப்பே முஹம்மது பாவா,Muslim
සින්නලෙබ්බේ සෙයිතුන්බීවී,சின்னலெவ்வை செய்தூன்பீபீ,Muslim
ශෙහාන් සචිත් සුවඳරත්න,ஷெஹான் சசித் சுவந்தரத்ன,Sinhala
ගලේගෙදර ගමරාල්ලාගේ විශ්ව මධුශංඛ,கலேகெதர கமரால்லாகே விஷ்வ மதுஷங்க,Sinhala
සිංහාසන වඩුගම්ලත්දලාගේ ත්‍රිමාලි තුෂාරි ගම්ලත්,சிங்ஹாசன வடுகம்லத்தலாகே திரிமாலி துஷாரி கம்லத்,Sinhala
සංගර් සතීස්,சங்கர் சதீஸ்,Tamil
පිඹුරගේ දොන් ප්‍රියංකර පුෂ්ප කුමාර,பிபுரகே தொன் பிரியன்கர புஸ்ப குமார,Sinhala
හේරත් මුදියන්සේලාගේ ප්‍රියංගිකා හේරත්,ஹேரத் முதியன்சேலாகே பிரியங்கிகா ஹேரத்,Sinhala
වලගමයලාගේ ෆාතිමා රිසානා,வலகமயாலகே பாத்திமா றிசானா,Muslim
තුරෛයරසන් නිලානි,துரையரசன் நிலானி,Tamil
කන්දසාමි ප්‍රතීපන්,கந்தசாமி பிரதீபன்,Tamil
අලගර් කනගේස්වරි,அழகர் கனகேஸ்வரி,Tamil
