,Name,Class
0,சீநோர் வீட்டு திட்டம்,Sinhala
1,களுவன்கேணி,Tamil
2,செங்கலடி,Tamil
3,சுனாமி வீட்டு திட்டம்,Sinhala
4,களுவன்கேணி,Tamil
5,சந்தநதபுர,Sinhala
6,வீரகொட,Sinhala
7,கட்டுக்குருந்த வத்த,Sinhala
8,மாலிம்பட,Sinhala
9,பாலட்டுவ,Tamil
10,தகம் மாவத்தை,Sinhala
11,துத்திரிபிடிய,Sinhala
12,ஹல்தொடா,Sinhala
13,பண்டாரகம,Sinhala
14,கங்கந்த,Sinhala
15,ஹன்னகல,Sinhala
16,தெல்கொட கொலணி,Sinhala
17,வெத்தாகல,Sinhala
18,கலவானை,Sinhala
19,தேவத்த வீதி,Sinhala
20,மெதகொட,Sinhala
21,வரகாபொல,Sinhala
22,புதிய வீதி,Sinhala
23,திசாவெவ,Sinhala
24,அநுராதபுரம்,Sinhala
25,பரதெனிய,Sinhala
26,கண்ணத்தொட்ட,Sinhala
27,கெகிரிஹேன மேல்,Sinhala
28,லேல்வல,Sinhala
29,நெலுவ,Sinhala
30,பாடசாலை அருகாமை,Sinhala
31,ஜதுர,Sinhala
32,அங்குணகொலபெலஸ்ஸ,Sinhala
33,சுஜீவ இல்லம்,Sinhala
34,ரத்மல்வல,Sinhala
35,ஓபனாயக வீதி,Sinhala
36,கஹவத்த கஹவத்த,Sinhala
37,திஸ்ஸபுர உஹன,Sinhala
38,தெஹிகஹதெனிய,Sinhala
39,திப்பிடிகல,Sinhala
40,லெல்லோபிட்டிய,Sinhala
41,ஹபராதுவ கெதர,Sinhala
42,ஹொரகொட,Sinhala
43,தெளிச்சவில,Tamil
44,பொல்ஹுன்னாவ,Sinhala
45,பட்டபொல,Sinhala
46,வோட்டு வாடி வீதி,Tamil
47,களுவன்கேணி,Tamil
48,செங்கலடி,Tamil
49,ஐஸ் ஆலை வீதி,Sinhala
50,ஏறாவூர்,Tamil
51,பண்டார தோட்டம்,Sinhala
52,கஹவத்த,Sinhala
53,கொடலியத்த,Sinhala
54,முங்வத்த,Sinhala
55,பள்ளியடி வீதி,Tamil
56,ஏறாவூர்,Tamil
57,கிராம நீதிமன்ற வீதி,Sinhala
58,ஏறாவூர்,Tamil
59,தைக்கா வீதி,Tamil
60,ஓடாவியார் வீதி,Tamil
61,ரத்மல் இடம்,Sinhala
62,தலபத்பிட்டிய,Sinhala
63,நுகேகொடை,Sinhala
64,கன்கிரிய,Sinhala
65,ஹெட்டிமுல்ல,Sinhala
66,தலேவெல,Sinhala
67,கடை வீதி,Sinhala
68,ஐயங்கேணி,Tamil
69,செங்கலடி,Tamil
70,கட்டுகொடெல்ல,Sinhala
71,கோவின்ன,Tamil
72,கல்வத்த,Sinhala
73,கலகன்வத்த,Sinhala
74,சமகி மாவத்தை,Sinhala
75,சமுத்திரகல,Sinhala
76,கேகாலை,Sinhala
77,பாடசாலை பின் வீதி,Sinhala
78,ஐயன்கேணி,Tamil
79,தியனில்ல,Sinhala
80,தோட்டம் கீழ் பிரிவு,Sinhala
81,ராகலை,Sinhala
82,இஹல ஹகமுவ,Sinhala
83,இரத்தினபுரி,Sinhala
84,தர்மபால மாவத்தை,Sinhala
85,பெல்மடுல்ல,Sinhala
86,வீரபத்திரன்,Tamil
87,கோவில் வீதி,Tamil
88,மேல் ஹகமுவ,Sinhala
89,மாவுதெல்ல,Sinhala
90,தேல,Sinhala
91,படிவம்,Tamil
92,தேவநம்பியதிஸ்ஸபுர,Sinhala
93,கொடகேவத்த,Sinhala
94,பழைய நகரம்,Tamil
95,அனுராதபுரம்,Sinhala
96,மினிபுர,Sinhala
97,மஹபல்லேகம,Sinhala
98,குமுதுகம,Sinhala
99,தடயன்தலாவ,Sinhala
100,கிராம நீதி மன்ற வீதி,Sinhala
101,ஜயந்திபுர வான் எல,Sinhala
102,கந்தளாய்,Sinhala
103,எகொடவெவ,Sinhala
104,சீகிரிய,Sinhala
105,கொடகபல்ல,Sinhala
106,பரகஸ்தொட,Sinhala
107,தவலன்ஹல்மில்லேவ,Sinhala
108,கப்புகொல்லேவ,Sinhala
109,ஹபுதுகல,Sinhala
110,குடலிகம,Sinhala
111,நேபட,Sinhala
112,கீழ் மாயின்நெளுவ,Sinhala
113,வேரகல,Sinhala
114,வெவகம,Sinhala
115,கொக்காவிட்ட,Tamil
116,தபகஹயடஹேன,Sinhala
117,லியன்வெல,Sinhala
118,பஹலகம,Sinhala
119,கொபில்லாகொட,Sinhala
120,பாருதல்வில,Sinhala
121,புலத்சிங்ஹல,Sinhala
122,நாரங்கஹமுலஹேன,Sinhala
123,மேல் களுகல,Sinhala
124,பெலிகல,Sinhala
125,சின்ஹகிரி பாரே,Sinhala
126,குருவல,Sinhala
127,அங்குனகொலபெலெஸ்ஸ,Sinhala
128,தலாவ கிழக்கு,Sinhala
129,காரியமடித்த,Tamil
130,அம்பகஹவத்த,Sinhala
131,அத்தனயால,Sinhala
132,மெதமுலான,Sinhala
133,சின்னமடு,Tamil
134,அம்பிளாந்துறை மேற்கு,Tamil
135,கஹடகஸ்தென்ன,Sinhala
136,இல்லகொல்ல,Sinhala
137,ஹங்குரன்கெத்த,Sinhala
138,அடஹவுல,Sinhala
139,கொபேய்துடுவ,Sinhala
140,ஜயந்திபுர,Sinhala
141,வான்எல,Sinhala
142,கந்தலம,Sinhala
143,தம்புள்ளை,Tamil
144,ஆஸ்பத்திரி வீதி,Sinhala
145,திக்கெல்ல,Sinhala
146,அமுனுகம,Sinhala
147,மெதிரிகிரிய,Sinhala
148,யாய,Sinhala
149,அருனுபுற,Sinhala
150,மஹதலாகொலவெவ,Sinhala
151,தெல்கஹவத்த வீதி,Sinhala
152,உடஹமுல்ல,Sinhala
153,புதிய கொலனி,Sinhala
154,தளபத்பிட்டிய வீதி,Sinhala
155,உடஹமுல்ல,Sinhala
156,கலகிட்டிய,Sinhala
157,தெல்லமுல்ல,Sinhala
158,மொல்காவ,Sinhala
159,பாரதி கிராமம்,Tamil
160,வெலிஹிந்த,Sinhala
161,மொரதொட்ட,Sinhala
162,மஹகந்துர கம,Sinhala
