Sinhala,Tamil,Class
තිඩට්පුලම්,திடற்புலம்,Tamil
මාණික්කපුරම්,மாணிக்கபுரம்,Tamil
නාගර්කෝවිල බටහිර,நாகர்கோவில் மேற்கு,Tamil
වවුනික්කුලම් වම් ඉවුර,வவுனிக்குளம் இடதுகரை,Tamil
නාවලර් පන්නෛ,நாவலர் பண்ணை,Tamil
අරාලි දකුණ,அரலி தெற்கு,Tamil
වලකම්පරෙයි කොටසක්,வட்டக்கம்பாறை,Tamil
ඉලකඩි,இலகடி,Tamil
උප්පුමාවේලි,உப்புமாவெளி,Tamil
පේසාලෛ කලාප අංක 04,பேசாலை வட்டாரம் இல.4,Tamil
වණ්ණාර්පණ්ණෙයි නැගෙනහිර ( කොටස ),வண்ணார்பண்ணை கிழக்கு (பிரிவு),Tamil
සෙම්පාඩු,செம்பாடு,Tamil
ඔලෛත්තොඩුවායි,ஓலைத்தொடுவாய்,Tamil
වාගයිකට්ටියඔලුක්කුලම්,வாகைகட்டிய ஓலுக்குளம்,Tamil
කොඩ්ඩෙයිකාඩු කොටසක්,கோடைக்காட்டின் ஒரு பிரிவு,Tamil
මිල්ක්බෝර්ඩ් වීදිය,பால் சேகரிப்புவீதி,Tamil
කාළුවන් කොටසක්,கலுவன்,Tamil
තාවලෙයි,தவாலை,Tamil
තොඩ්ඩියඩි,தொட்டியடி,Tamil
පිල්ලයිමඩම්,பிள்ளைமடம்,Tamil
කොක්කුවිල් මැද නැගෙනහිර,கொக்குவில் மத்தி கிழக்கு,Tamil
ගනේෂපුරම් නිවාස සංකීර්ණය,கணேஷபுரம் வீட்டுத்திட்டம்,Tamil
විනාසියෝඩෛ,வினாசியோடை,Tamil
තුනුක්කායි,துணுக்காய்,Tamil
විස්වමඩු නැගෙනහිර,விஸ்வமடு கிழக்கு பகுதி 1,Tamil
ඌරියාන්,ஊரியான்,Tamil
වණ්ණාකුලම්,வண்ணாகுளம்,Tamil
සාම්පන්කඩ්ඩයිකාඩු,அன்னம் செத்தமோட்டை,Tamil
තඩ්ටාමලෛ්,தட்டாமலை,Tamil
කුරංකිරුප්පාන්,குரங்கிருப்பான்,Tamil
සිවන් කොවිලඩි,கல்வில் சிவன்கோவிலடி,Tamil
කීල්කුලම්,கீழ்க்குளம்,Tamil
මුරිහන්ඩ්,முறிகண்டி,Tamil
කාත්තාන් කණ්ඩල්,காத்தான்கண்டல்,Tamil
කුඩිමත්ති,குடிமத்தி,Tamil
මායක්කෙයි,மாயக்கை,Tamil
කෝයිලාමනෙයි,கோயிலாமனை,Tamil
තාමලෙයි කොටස,கற்பொக்கனை,Tamil
වේමපඩි,வேம்படி,Tamil
අහමඩ් නෛනාකුලම්,அஹமட் உனையின் குளம்,Tamil
තාණ්ඩික්කුළම්,தாண்டிக்குளம்,Tamil
පඩපටී,படப்பாடி,Tamil
කට්කුලි,கற்குழி,Tamil
කුරුඤ්චාක්කුලම් උතුර,குரிஞ்சாக்குளம் வடக்கு,Tamil
පුලක්කාඩු,குளக்கட்டு,Tamil
පාප්පා තොඩඩම්,பாப்பாத்தோட்டம்,Tamil
සෝනහපිට්ටි,சோனகபிட்டி,Tamil
වෙට්ටිමාන් කුඩියිරුප්පු,வேற்றிமான் குடியிருப்பு,Tamil
තච්චන්කලඩ්ඩි,தச்சங்கலட்டி,Tamil
වෙල්ලික්කන්තෝඩ්ඩම්,வெல்லிக்கன்தோட்டம்,Tamil
වරණි ඉයට්රාලෙයි දකුණ,வரணி இயற்றாலைதெற்கு,Tamil
අම්මිවෛත්තාන්,அம்மிவைத்தான்குளம்,Tamil
කොණ්ඩච්චි කුඩා,கொண்டச்சி குளம்,Tamil
පොන්නාලෙයි,பூன்னலை,Tamil
ධීවර ගම්මානය,தீஹகம்மானய,Tamil
රාවත්තෙයි,இராவத்தை,Tamil
වේරගම,வேறகம,Tamil
නිත්තිය නගර්,நித்தியநகர்,Tamil
තනුවිල්,தனுவில்,Tamil
තිනෛල්වේලි උතුර මැද,திருநெல்வேலி மத்தி வடக்கு,Tamil
මඳිරිමලෙයි,மந்திரிமலை,Tamil
තොට්ටවේලි,தோட்டவெளி,Tamil
සෙන්කාරත්තිමොට්ටෛ,செங்காரத்திமோட்டை,Tamil
වළලායි,வளலாய்,Tamil
මිරුසුවිල් කොටස,மிருசுவில்பகுதி,Tamil
සුභාස් කුඩියිරුප්පු,சுபாஸ் குடியிருப்பு,Tamil
සෙම්පාඩු,செம்பாடு,Tamil
යාපනය නගර් නැගෙනහිර කොටස,யாழ்நகர் கிழக்கு பகுதி,Tamil
මූලායි නැගෙනහිර,மூலை கிழக்கு,Tamil
මුරුංගන් ග්රාමම්,முருங்கன் கிராமம்,Tamil
පුදුකාඩු,புதுக்காடு,Tamil
අයිත්තාම්පුලම්,அஜித்தம்புலம்,Tamil
2 වන යුනිට,2 வது அலகு,Tamil
කිඩායිවෙට්ටිකන්ඩල්,கிடை வெட்டிகந்தல்,Tamil
කනගපුරම්,கனகபுரம் 1ம்பண்ணை,Tamil
කොවිල්කුංජුක්කුළම්,கோவில்குந்ச்சகுளம்,Tamil
පනන්කට්ටුකොට්ටු නැගෙනහිර,பனங்கட்டிக்கோட்டு மேற்கு,Tamil
පුලියන්කුලම්,பூக்குளம்,Tamil
පල්ලිවයල්,பள்ளிவயல்,Tamil
එරුක්කලම්පිඩිඩී කළාප අංක 06,எருக்கலம் பிட்டி வட்டாரம் 6,Tamil
තික්කුවිල්,திக்குவில்,Tamil
සාම්පල්ත්තෝට්ටම්,சாம்பல்த்தோட்டம்,Tamil
කොරෛමොඩ්ඩී,கோரைமோட்டை,Tamil
ගුඩ් ෂෙඩ් පාර,பொதிமண்டப வீதி,Tamil
නව මූර් වීදිය,புதிய சோனகதெரு,Tamil
තන්නිමුරිප්පු මධ්ය,தண்ணிமுறிப்பு மத்தி,Tamil
මන්දුවිල් නැගෙනහිර,மந்துவில் கிழக்கு,Tamil
මඩතඩි,மடத்தடி,Tamil
කොල්ලාන්කුලාම්,பரசங்குளம்,Tamil
පරප්පාංකන්ඩල්,பரப்பாங்கண்டல்,Tamil
කුලාවිසුඩාන්,குலவிசுட்டான்,Tamil
12 වන යුනිට,12 வது அலகு,Tamil
අත්තරෛ්ප්පානාවෙලි දකුණ,அத்தாரைப்பனை தெற்கு,Tamil
කොක්කණෙයි,கொக்கனை,Tamil
අම්බලන්ගොඩැල්ල,அம்பலங்கொடெல்ல,Tamil
නම්පාප්පුලම්,நாம்பப்புலம்,Tamil
පාලියාරු,பாலியாறு,Tamil
ඉලමරුදන්කුලම්,இளமருதன்குளம்,Tamil
කුරුම්පසිඩ්ඩි කොටසක්,குரும்பசிட்டியின் ஒரு பிரிவு,Tamil
