,Name,Class
0,சம்மூன்குட்டி,Sinhala
1,குழந்தையும்மா,Tamil
2,இளங்கோ,Sinhala
3,தனுராஜ்,Tamil
4,கதிராமன்,Tamil
5,ஞானம்மா,Sinhala
6,ரன்ஹோட்டி,Sinhala
7,பண்டாறகே,Sinhala
8,தசநாயக,Sinhala
9,மல்லவகே,Sinhala
10,நிஷாதி,Sinhala
11,பூர்னிமா,Muslim
12,முத்துதந்திரிகே,Sinhala
13,சுரேந்திர,Sinhala
14,குமார,Sinhala
15,குரே,Sinhala
16,உயனஹேவாகே,Sinhala
17,ஹன்சினி,Sinhala
18,பிரசானி,Sinhala
19,ஜயநெத்தி,Sinhala
20,கோராலலாகே,Sinhala
21,ஹிரன்த,Sinhala
22,சம்பத்,Sinhala
23,வீரையா,Tamil
24,ஜயகுமார்,Sinhala
25,லெச்சிமன்,Sinhala
26,லக்ஷிகா,Sinhala
27,மதுமாலி,Sinhala
28,விதாரமலாகே,Sinhala
29,தரிந்து,Sinhala
30,ரசாஞ்ஜன,Sinhala
31,கருணாசேன,Sinhala
32,நெலுவ,Sinhala
33,லியனகே,Sinhala
34,தம்மிகா,Sinhala
35,வேலாபுர,Sinhala
36,மஹவடுகே,Sinhala
37,டொன்,Sinhala
38,அன்ரனி,Sinhala
39,தலதாவத்தகே,Sinhala
40,துலஞ்ஜய,Sinhala
41,சந்தகெலும்,Sinhala
42,நிரஞ்ஜலா,Sinhala
43,லக்மாலி,Sinhala
44,வகஆரச்சி,Sinhala
45,பரதபயலகே,Sinhala
46,நிலந்த,Sinhala
47,கல்கெடியெ,Sinhala
48,கெதர,Sinhala
49,உபுல்,Sinhala
50,பிரியந்த,Sinhala
51,திப்பிடிகல,Sinhala
52,மனன்தலாகே,Sinhala
53,சன்ஜீவ,Sinhala
54,சமன்குமார,Sinhala
55,மல்லிகா,Sinhala
56,ஹேரத்,Sinhala
57,பண்டா,Sinhala
58,பரணவிதானகே,Sinhala
59,ரமேஷ்,Sinhala
60,மதுரங்க,Sinhala
61,ஹேவாவசம்,Sinhala
62,படுவத,Sinhala
63,படதுருகே,Sinhala
64,திசரு,Sinhala
65,மதுஷான்,Sinhala
66,ஜுவன்வடு,Sinhala
67,ஸுல்லபால,Sinhala
68,கணபதி,Tamil
69,அழகம்மா,Tamil
70,ஹாமிது,Sinhala
71,லெப்வைமீராசாய்பு,Muslim
72,தந்துன்னகே,Sinhala
73,தினுஷா,Sinhala
74,வீரசூரிய,Sinhala
75,தவுந்த,Tamil
76,பண்டித,Sinhala
77,எரங்க,Sinhala
78,சுபுன்,Sinhala
79,அப்துல்,Muslim
80,ஹமீது,Muslim
81,முகம்மது,Muslim
82,ஹபீர்,Muslim
83,அபூபக்கர்,Muslim
84,செயினம்பு,Tamil
85,மீரா,Muslim
86,லெப்பே,Muslim
87,முஹம்மது,Muslim
88,பாவா,Sinhala
89,சின்னலெவ்வை,Muslim
90,செய்தூன்பீபீ,Muslim
91,ஷெஹான்,Sinhala
92,சசித்,Sinhala
93,சுவந்தரத்ன,Sinhala
94,கலேகெதர,Sinhala
95,கமரால்லாகே,Sinhala
96,விஷ்வ,Sinhala
97,மதுஷங்க,Sinhala
98,சிங்ஹாசன,Sinhala
99,வடுகம்லத்தலாகே,Sinhala
100,திரிமாலி,Sinhala
101,துஷாரி,Sinhala
102,கம்லத்,Sinhala
103,சங்கர்,Sinhala
104,சதீஸ்,Tamil
105,பிபுரகே,Sinhala
106,தொன்,Sinhala
107,பிரியன்கர,Sinhala
108,புஸ்ப,Sinhala
109,முதியன்சேலாகே,Sinhala
110,பிரியங்கிகா,Sinhala
111,வலகமயாலகே,Sinhala
112,பாத்திமா,Muslim
113,றிசானா,Sinhala
114,துரையரசன்,Tamil
115,நிலானி,Sinhala
116,கந்தசாமி,Tamil
117,பிரதீபன்,Sinhala
118,அழகர்,Tamil
119,கனகேஸ்வரி,Tamil
120,ஹகமுவ,Sinhala
121,லேகம்லாகே,Sinhala
122,சுமால்,Sinhala
123,சேத்திய,Sinhala
124,குணரத்ன,Sinhala
125,கமகரனலாகே,Sinhala
126,துலான்,Sinhala
127,மதுமால்,Sinhala
128,ஜயலத்,Sinhala
129,தெய்வேந்திரராசா,Tamil
130,துஜீக்கா,Sinhala
131,நிவிதிகல,Sinhala
132,கஹங்கமகே,Sinhala
133,பியுமி,Sinhala
134,அப்சரா,Sinhala
135,நிவித்திகல,Sinhala
136,சதரசிங்க,Sinhala
137,ஆரச்சிலாகே,Sinhala
138,திலினி,Sinhala
139,தக்ஷிலா,Sinhala
140,அசுரமான,Sinhala
141,பேடிகே,Sinhala
142,கௌஷல்யா,Sinhala
143,மதுபாஷினி,Sinhala
144,பதிரன,Sinhala
145,கல்வடுகே,Sinhala
146,ஹசிகலா,Sinhala
147,சுபாஷனி,Sinhala
148,செவ்வந்தி,Sinhala
149,நிஷங்கா,Sinhala
150,பிரியன்தி,Sinhala
151,ஹேவாயலாகே,Sinhala
152,சதுரங்க,Sinhala
153,இமல்குமார,Sinhala
154,லேகமலாகே,Sinhala
155,ஷியாமலி,Sinhala
156,தர்மதாச,Sinhala
157,எதிரச்,Sinhala
158,வாரிகே,Sinhala
159,விமலரத்ன,Sinhala
160,அபூபக்கர்,Muslim
161,குழந்தைஉம்மா,Tamil
162,கொட்டியா,Sinhala
163,பெத்தே,Sinhala
164,கெதர,Sinhala
165,டில்ஷானி,Sinhala
166,மதுஷிகா,Sinhala
167,பெத்தேகெதர,Sinhala
168,விக்ரம,Sinhala
169,ஆரச்சிகே,Sinhala
170,ஸ்டன்லி,Sinhala
171,சேனாரத்ன,Sinhala
172,பொதரகமகே,Sinhala
173,கயான்,Sinhala
174,ரவிந்து,Sinhala
175,சன்ஜீவனிகே,Sinhala
176,டில்ஷான்,Sinhala
177,மதுசங்க,Sinhala
178,ரத்னாயக்க,Sinhala
179,மதுவன்திக்கா,Sinhala
180,உடகம,Sinhala
181,கோரலாகே,Sinhala
182,டிலங்க,Sinhala
183,பிரமித்,Sinhala
184,விதுசர,Sinhala
185,குருப்பு,Sinhala
186,ஆரச்சில்லாகே,Sinhala
187,புத்தினி,Sinhala
188,பிரசாந்திகா,Sinhala
189,தர்மசேன,Sinhala
190,மெதகமகே,Sinhala
191,ஜசிந்தா,Sinhala
192,திலினி,Sinhala
193,கமகே,Sinhala
194,நவரத்ன,Sinhala
195,முஹங்திரம்லாகே,Sinhala
196,தலோக்கலே,Sinhala
197,பிரசன்ன,Sinhala
198,அஜித்,Sinhala
199,தன்திரிகே,Sinhala
200,அஷான்,Sinhala
201,மதுசங்க,Sinhala
202,குணசிங்க,Sinhala
203,பண்டாகே,Sinhala
204,நதீகா,Sinhala
205,டில்ருக்ஷி,Sinhala
206,சமரகோன்,Sinhala
207,வலிசிங்ஹ,Sinhala
208,தேவாகே,Sinhala
209,பிரமோத்ய,Sinhala
210,நிர்மால்,Sinhala
211,விஜேசிங்ஹ,Sinhala
212,விஜயலத்,Sinhala
213,பதிரனலாகே,Sinhala
214,மிஹிரங்க,Sinhala
215,சந்திரா,Sinhala
216,துரகே,Sinhala
217,சித்தாரா,Sinhala
218,தேவிந்தி,Sinhala
219,கங்காகனம்,Sinhala
220,பசிது,Sinhala
221,தில்மின்,Sinhala
222,சுரவீர,Sinhala
223,சந்திமா,Sinhala
224,கந்தசாமி,Tamil
225,திருமதி,Sinhala
226,அத்தநாயக்க,Sinhala
227,வக்கும்புரே,Sinhala
228,செனவிரத்ன,Sinhala
229,மாவனானே,Sinhala
230,ஹேவா,Sinhala
231,லஹிரு,Sinhala
232,கருணாரத்ன,Sinhala
233,உடகெதர,Sinhala
234,சஜித்,Sinhala
235,தாருக்க,Sinhala
236,படபென்தி,Sinhala
237,லசந்த,Sinhala
238,படபென்திகே,Sinhala
239,ரத்துகே,Sinhala
240,ஒஸ்டின்,Sinhala
241,ஜயதிலக,Sinhala
242,ஜெமில்,Sinhala
243,இர்பான்,Muslim
244,அகமது,Muslim
245,லெவ்வை,Muslim
246,அஸ்பியா,Muslim
247,ஹேனக்க,Sinhala
248,ரால்லா,Sinhala
249,சீபல்,Sinhala
250,ரன்கொத்தகே,Sinhala
251,தத்சரா,Sinhala
252,நிமல்,Sinhala
253,திசாநாயக்க,Sinhala
254,அரக்கல,Sinhala
255,பத்மினி,Sinhala
256,ஆரியதாச,Sinhala
257,கோபரகே,Sinhala
258,சமக்க,Sinhala
259,குசினார,Sinhala
260,செல்லத்துரை,Tamil
261,செல்வி,Tamil
262,தலங்கம,Sinhala
263,அப்புஹாமிலாகே,Sinhala
264,ரிஷான்,Sinhala
265,தனுஷ்க,Sinhala
266,மடவள,Sinhala
267,மத்துமாகே,Sinhala
268,எரந்த,Sinhala
269,மதுஷங்க,Sinhala
270,உதயேந்திரன்,Tamil
271,பிரதாப்,Sinhala
272,வணசின்ஹ,Sinhala
273,முதியன்செலகே,Sinhala
274,கமல்,Sinhala
275,பந்து,Sinhala
276,வனசிங்க,Sinhala
277,வீரசூரியகே,Sinhala
278,டிலானி,Sinhala
279,பெர்னான்டோ,Sinhala
280,சம்பிகா,Sinhala
281,ராஜபக்க்ஷ,Sinhala
282,ஜயன்த,Sinhala
283,வீரசேகர,Sinhala
284,வெலிகல,Sinhala
285,டிலான்,Sinhala
286,ஜானக,Sinhala
287,பண்டார,Sinhala
288,விஜயம்,Sinhala
289,விஜித்திரா,Sinhala
290,மிலானி,Sinhala
291,பிரதீபா,Sinhala
292,அபேரத்ன,Sinhala
293,மரதமுத்து,Sinhala
294,சிவகுமார்,Tamil
295,மொஹொட்டிகே,Sinhala
296,ரொஷான்,Sinhala
297,லக்ஷித,Sinhala
298,பெரியசாமி,Sinhala
299,புஸ்பகுமார,Sinhala
300,அம்பகஹகே,Sinhala
301,மில்ரோய்,Sinhala
302,நிரோஷண,Sinhala
303,பர்ணாந்து,Sinhala
304,குமரேஸ்வரன்,Tamil
305,அஜித்குமார்,Sinhala
306,அரம்பகே,Sinhala
307,இசுரு,Sinhala
308,மெத்த,Sinhala
309,விட்டகே,Sinhala
310,இந்திக,Sinhala
311,ரொஷாந்த,Sinhala
312,மெத்தவிட்டகே,Sinhala
313,வனிகசிங்க,Sinhala
314,தினேஷா,Sinhala
315,ஜோசப்,Tamil
316,சுகத்சிறி,Sinhala
317,முஹம்மது,Muslim
318,ஹனிபா,Muslim
319,காலிதா,Sinhala
320,ஹெட்டியாராச்சி,Sinhala
321,சீதேவி,Sinhala
322,முனசிங்க,Sinhala
323,மடுஷிகா,Sinhala
324,கிறின்கொடகே,Sinhala
325,நிலக்ஷி,Sinhala
326,சந்தறுவனி,Sinhala
327,விமலதாஸ்,Sinhala
328,அனித்தான்,Sinhala
329,ஹெட்டிஆரச்சிகே,Sinhala
330,கசுன்,Sinhala
