,Name,Class
0,මයාදුන්නගේ ඉන්ද්‍රා රංජනී ලියනගේ,Sinhala
1,பமீலா ராஜா விஜயராகவன்,Tamil
2,நராவல கமகே பிரியந்த சந்தலேகா,Sinhala
3,තේන් කුට්ටියලාගේ සුජානි දිල්රුක්ෂි ජිනසේන,Sinhala
4,හෙට්ටි ආරච්චිගේ අජන්තා රෝහන් පෙරේරා,Sinhala
5,பத்தினிகே லக்க்ஷ்மன் சம்பத் நோனிஸ்,Sinhala
6,සුබසිංහ ගෙදර විමලාවති,Sinhala
7,செனரத் ஆரச்சிகே தோன அமாலி லக்மிணி சேனரத்ன,Sinhala
8,குமாரகே சுதேஸிகா செவ்வந்தி,Sinhala
9,කච්චකඩුගේ සුමාලි නිරෝෂිනී පෙරේරා,Sinhala
10,ஜெயதேவா புவனேஸ்வரி,Tamil
11,මාතොට ආරච්චිලාගේ ශානිකා නිරෝෂනි,Sinhala
12,තිමති පැතුම් කුමාරතුංග,Sinhala
13,கெடவ கந்தகே குசுமலதா,Sinhala
14,கலிவ்டிகொட பத்திரனகே ரோஷான்,Sinhala
15,சல்பகை நிரஞ்சா ப்ரியங்கனி,Sinhala
16,ஜபமணி தேவதாசன்,Tamil
17,අඹගහගේ සුමුදු නිලංක ප්‍රනාන්දු,Sinhala
18,சுதுஹகுருகே பிரசாத் ரங்கன,Sinhala
19,அமரசிங்க ஆரச்சிகே ஷாமல் அசங்க,Sinhala
20,ராஹுபத்தெ கங்கானம்கே சமரி பியங்கா,Sinhala
21,මහපතිරන්නැහැලාගේ චතුමිණි ජනාදරි කරුණාරත්න,Sinhala
22,බෝමිරියගේ දෝන තුශාරා ගායිනී,Sinhala
23,விதானகே சமிந்த லக்சிரி,Sinhala
24,ஹேவாகீகனகே புஸ்பலதா ஹேவாகீகன,Sinhala
25,ஹெட்டி ஆரச்சிலிலாகே சித்ரா ஹெட்டிஆரச்சி,Sinhala
26,මුත්තයියා රංජනී යෝකලා,Tamil
27,உலுவிடகே சந்தலி தாருகா,Sinhala
28,වික්‍රමසිංහ ආරච්චිලාගේ පූර්ණිමා දනංජරි,Sinhala
29,පතිරගේ දොන් විල්සන් චර්චිල්,Sinhala
30,බැමිණිවත්ත ආරච්චිගේ ක්‍රිෂාන්ත ලක්මාල්,Sinhala
31,රත්නායක අච්චිල්ලාගේ තිලකරත්න,Sinhala
32,මුනිවරගේ සුරේෂ් සහන් අනුරාධ ප්‍රනාන්දු,Sinhala
33,මුනගමගේ යසවතී,Sinhala
34,ජේකොබ් ජේමිස් ජයපාලන්,Sinhala
35,රමණි කුමාරි ගම්පලගේ,Sinhala
36,ரணசிங்ஹ ஆரச்சிகே சுனில்,Sinhala
37,ஜயசுந்தர முதியன்சேலாகே பிசோமெனிகே ஜயசுந்தர,Sinhala
38,சஜானி சன்கபாலி சிறிவர்தன,Sinhala
39,වැදිගේ පියතිස්ස,Sinhala
40,රනතුංග මංචනායක දොන් පද්මසිරි ගුණසේකර,Sinhala
41,මුහම්මඩ් උබයිත් මුහමඩ් ෂකීල්,Muslim
42,அந்திரகொட ஆரச்சிகே கிஷான் முணசிங்க,Sinhala
43,கங்காணிகே கித்சிறி பெரேரா,Sinhala
44,சேனாநாயக சமன் குமார,Sinhala
45,முஹந்திரம் கங்கானமகே ரேணுகா சமந்தி,Sinhala
46,நில்மிணி துஷாரா குமாரி மடுவே ஆரச்சி,Sinhala
47,கோகுஹென்னதிகே கயான் நிரோஷன,Sinhala
48,කනපදිප්පිල්ලෛ නඩරාජා,Tamil
49,ஹெவரணசிங்ஹகே சஜித் தேவப்பிரிய சில்வா,Sinhala
50,வர்ணகுலசூரிய படபெதிகே நிரோஷிகா சாமினி ஜெயசூரிய,Sinhala
51,கொட்வின் மென்டிஸ்,Sinhala
52,வர்ணகுலசூரிய மேரி ஆக்னஸ் பர்னாந்து,Sinhala
53,ஹாசைமனி சேவியர் அந்தனி நவனீதன்,Tamil
54,பாத்திமா சுய்ஸா நியாஸ்தீன்,Muslim
55,கஜசிங்ஹ பதன ஆரச்சிகே பாத்திமா மொரின் சில்வா,Sinhala
56,தொன் ஷானிகா லக்ஷானி ரணவீர,Sinhala
57,குணெத்திகே லக்ஸ்மன் டி சில்வா குநேத்திகே,Sinhala
58,பல்லேகெதர ஹேரத் முதியன்சேலாகே அன்ஜு கயாத்திரீ பண்டார,Sinhala
59,විජේරත්න ගමගේ අමන්දි මධුමල්කා,Sinhala
60,சஹர்தீன் ஹனிபா துவான் ஹாஜிரின்,Muslim
61,කුරුප්පු මුදියන්සේලාගේ තාරිකා ශ්‍රීපාලී වික්‍රමසිංහ,Sinhala
62,மொஹம்மட் நவாஸ் பாத்திமா சஹ்லா,Muslim
63,සුලේඛා ලෝෂිණී ජයවර්ධන,Sinhala
64,ලියන ආරච්චිලාගේ ලක්‍ෂමන් ධනංජය,Sinhala
65,மொஹொம்மத் மகீம் மொஹொம்மத் ஜலீல்,Muslim
66,උෂාන් රවින්දන වීරක්කොඩි,Sinhala
67,லியனதுரகே நிலுகா தர்ஷனீ,Sinhala
68,හේවාදේවගේ ලලනි ප්‍රනාන්දු,Sinhala
69,ලියනගේ දෝන ඉනෝකා සුරංජි,Sinhala
70,தர்ஷன ஹேனாகொட விதானச்சி,Sinhala
71,கனுகலவத்தகே சந்திமா துஷார பெரேரா,Sinhala
72,ராஜபக்ஷ குமாரன்னெஹெலாகே லயனல் அல்போன்சு,Sinhala
73,மகவத்தகே லக்க்ஷ்மன் குமார,Sinhala
74,ஜயசுந்தர வல்பொல கங்கானமலாகே பிரியந்தி நயனா ஜயசுந்தர,Sinhala
75,ගාමිණී පියනන්දන වාකිෂ්ඨ,Sinhala
76,ஹேரத் முதியன்சேலாகே தர்மதாச,Sinhala
77,ෆාතිමා ෆරිනා,Muslim
78,ரத்னவீர படபெந்திகே நதீஷா தரங்கனீ,Sinhala
79,கால்லகே சரத் குமார,Sinhala
80,தடுகமகே அஜித் வீரசிரி,Sinhala
81,ஹதுன்னெத்தி சஹன் சதுரங்க மென்டிஸ்,Sinhala
82,ජෙයිනුලාබ්දීන් සුෂානාබේබි,Muslim
83,பிரியானி அயேஷா பீட்டர்ஸ்,Sinhala
84,පහලගේ චාමර මධුසංක,Sinhala
85,சந்தான தேவகே ஜானக ரவீந்திர டி சில்வா,Sinhala
86,රනවකගේ ජුලිකා නිමාන්ෂි,Sinhala
87,லசந்த உதய குமார் ஜயவர்தன,Sinhala
88,மனுல கொத்தலாவல,Sinhala
89,රම්‍යානි මල්කාන්ති අබේසිරිවර්ධන සෙනරත් යාපා,Sinhala
90,ரணசிங்க ஆரச்சிகே பிரசாதி தாருக்கா,Sinhala
91,අම්බලන්ගොඩ ලියනරාලලාගේ ශීලා මෙට්‍රෝනා ලුක්‍රේෂියා ප්‍රනාන්දු,Sinhala
92,தசனாயக லேகமலாகே நிசன்சலா சந்தமாலி தசனாயக,Sinhala
93,முணசிங்க ஆரச்சிகே தோன கங்கா பிரியங்கனி முணசிங்க,Sinhala
94,பாத்திமா ருசானா ஸிபா,Muslim
95,ඒකනායක මුදියන්සේලාගේ ප්‍රසාද් බංඩාර,Sinhala
96,සුදසිංහගේ අමිල ඉරේෂා,Sinhala
97,தாபன துரகே நதீகா சுபாஸினி,Sinhala
98,ටිකිරි හන්නැදිගේ විමලාවති,Sinhala
99,சுரகே சுபுன் மதுசங்க,Sinhala
100,சந்திரசேகரன் செல்வகுமார்,Tamil
101,மொஹம்மட் மவ்ஜுத் மொஹம்மட் ஹபீல்,Muslim
102,සුජිත් දේමුනි,Sinhala
103,සෙනෙවිරත්න පතිරණගේ සුමතිපාල,Sinhala
104,ඉස්මායිල් ඉර්ෂාද් අහමඩ්,Muslim
105,රන්තැටිගේ සෝමරත්න වික්‍රමසිංහ,Sinhala
106,கருணாதிகா மஹன்தே கம்லத்தலாகே ரேணுகா,Sinhala
107,சியகுண கொஸ்கொடகே கயானி மஹேஷிகா,Sinhala
108,வர்ணசூரிய லொக்குமுத்துகலகே கிரிஸான் நிலுக்கா,Sinhala
109,සරණසිංහ පටබැඳිගේ නිමලසේන,Sinhala
110,வேவெல்வல ஹேவகே ரத்னசிரி,Sinhala
111,தர்மசிரி பமுனுசிங்க விதாரண,Sinhala
112,රූමස්වලගේ හියුබට් චාර්ලිස් ප්‍රනාන්දු,Sinhala
